,Timestamp,Embedded_text,Comments,Likes,Retweets,date,heure
0,2019-11-01T21:53:43.000Z," Pour revoir les différentes émissions de #Facealinfo rendez-vous sur 
@CNEWS
 .fr ! 

Ça se passe ici 
https://cnews.fr/replay

 A lundi ! Excellent week-end à tous
1
16
37",1.0,16.0,37.0,2019-11-01 21:53:43,1900-01-01 21:53:43
1,2019-11-01T21:41:42.000Z,"Eric #Zemmour face à 
@HuygheFB
 sur 
@CNEWS
 : 

 « Le populisme ne peut être que de droite. Le populisme de gauche est une supercherie. Le populisme, c’est une révolte identitaire et une révolte sociale. Or le populisme de gauche, ce n’est qu’une révolte sociale » #facealinfo
4
33
67",4.0,33.0,67.0,2019-11-01 21:41:42,1900-01-01 21:41:42
2,2019-11-02T13:00:00.000Z," Qui aimeriez-vous voir face à Eric #Zemmour, pour débattre dans #Facealinfo ?

 Vos propositions en commentaire !
1.4K
338
307",1400.0,338.0,307.0,2019-11-02 13:00:00,1900-01-01 13:00:00
3,2019-11-02T09:00:00.000Z,"Eric #Zemmour face à 
@HuygheFB
 sur 
@CNEWS
 : « Les Gilets Jaunes sont des électeurs du RN contrôlés par des cadres de la France Insoumise. On les a enfermés dans des querelles sociales et institutionnelles. Ils se sont fait avoir » 
#Facealinfo
12
38
105",12.0,38.0,105.0,2019-11-02 09:00:00,1900-01-01 09:00:00
5,2019-11-04T21:58:00.000Z,"Éric #Zemmour face à 
@patrickmennucci
 sur 
@CNEWS
 :
« On ne peut pas préconiser en même temps l’organisation d’un islam de France par l’Etat et le principe de séparation de l’Eglise et de l’Etat. Cela s’appelle un oxymore » 
#Facealinfo
7
87
155",7.0,87.0,155.0,2019-11-04 21:58:00,1900-01-01 21:58:00
6,2019-11-04T21:28:51.000Z,"Éric #Zemmour face au socialiste 
@patrickmennucci
 sur 
@CNEWS
 :
 « S’assimiler, c’est s’approprier un schéma culturel historique. Ce n’est pas promouvoir un modèle culturaliste comme l’a fait la gauche depuis les années 80 » 
#Facealinfo
4
49
116",4.0,49.0,116.0,2019-11-04 21:28:51,1900-01-01 21:28:51
7,2019-11-04T19:37:11.000Z,"Éric #Zemmour face à 
@patrickmennucci
 sur 
@CNEWS
 : ""Depuis les années 80, vous avez sacrifié la Nation sur l’autel de l’Europe, l’école sur l’autel de la sociologie et la laïcité sur la crainte de ne pas froisser les musulmans"" (2/2) #Facealinfo
15
301
657",15.0,301.0,657.0,2019-11-04 19:37:11,1900-01-01 19:37:11
8,2019-11-04T19:36:02.000Z,"Éric #Zemmour face à 
@patrickmennucci
 sur 
@CNEWS
 : ""Ce n’est pas un hasard si la gauche est morte. Elle s’appuyait sur trois fondements et elle les a trahis : la Nation, la laïcité, l’école"" (1/2) #Facealinfo
5
60
146",5.0,60.0,146.0,2019-11-04 19:36:02,1900-01-01 19:36:02
9,2019-11-04T18:25:47.000Z,"Le face à face, c'est maintenant ! RDV sur 
@CNEWS
 dans #Facealinfo
4
17
53",4.0,17.0,53.0,2019-11-04 18:25:47,1900-01-01 18:25:47
10,2019-11-04T17:42:37.000Z," L'invité de ce soir dans #Facealinfo est l'homme politique socialiste marseillais 
@patrickmennucci
 !

 Au menu du jour : l'état du 
@partisocialiste
, l'avenir de la gauche et les banlieues

A tout de suite sur 
@CNEWS
23
26
53",23.0,26.0,53.0,2019-11-04 17:42:37,1900-01-01 17:42:37
