,Occurence_Zemmour,Occurence_Mel,Occurence_Mac
cnews,3012,140,13
france,952,4358,1754
face,926,419,235
plus,820,2015,1012
français,584,654,497
tout,434,1083,329
faut,396,2082,296
fait,350,1150,302
https,346,2196,108
tweet,334,307,7
politique,326,1041,209
comme,310,873,282
tous,298,1110,672
faire,288,1510,508
soir,286,496,143
gauche,284,439,25
depuis,282,427,302
contre,268,1668,415
aujourd,252,573,460
hui,252,573,460
entre,252,433,295
cette,248,1231,512
quand,242,660,98
immigration,242,55,14
être,240,1033,449
pays,230,871,512
cela,214,315,134
ans,212,496,374
macron,210,1715,768
monde,206,947,318
gens,204,878,35
merci,194,318,304
française,194,195,172
sans,194,620,220
dit,188,683,75
veut,184,405,40
europe,178,1336,756
très,174,277,147
parce,172,421,121
com,170,3181,211
avoir,166,482,162
alors,162,267,43
grand,162,403,157
peuple,158,1028,151
ici,156,431,201
histoire,154,203,182
dire,154,565,126
rien,154,531,132
peut,152,722,195
bien,150,415,122
emmanuelmacron,150,28,966
pouvoir,148,377,77
valeurs,146,43,126
guerre,144,334,65
république,142,924,298
débat,138,434,88
doit,136,620,285
islam,136,29,15
car,134,241,74
toutes,134,263,212
youtube,134,2643,38
droit,134,423,105
maintenant,134,323,71
ceux,134,611,336
etat,132,53,24
propos,128,156,11
toujours,126,271,182
jean,122,5127,50
émission,122,448,11
homme,120,156,69
veulent,120,171,63
années,116,64,87
emmanuel,116,297,710
jamais,114,388,257
état,112,626,171
aussi,112,440,235
droite,112,453,23
loi,110,749,80
non,108,594,87
président,108,608,309
liberté,108,372,142
suite,108,186,52
toute,106,241,144
deux,106,352,209
moins,106,242,76
leurs,106,233,221
donc,102,222,36
culture,102,92,118
discours,98,879,133
fois,98,305,113
pourquoi,98,341,43
demain,98,162,133
pense,96,98,43
temps,96,487,172
gaulle,94,41,25
élites,92,8,5
youtu,92,1303,24
encore,92,280,161
invité,90,624,41
voir,90,246,52
gouvernement,90,622,426
chaîne,90,124,12
nouveau,90,335,112
démocratie,90,247,63
problème,86,342,29
idéologie,86,16,3
autres,86,415,117
beaucoup,86,205,137
entretien,84,156,22
chez,84,166,65
société,82,276,97
retrouvez,80,808,31
sous,80,250,49
femmes,78,179,192
extrême,78,283,15
question,78,438,40
rdv,76,149,3
vie,76,336,220
mort,76,121,39
jour,76,279,169
font,74,178,81
retrouver,74,98,72
après,74,527,219
oct,74,16,56
première,72,301,169
rendez,72,658,129
étrangers,72,13,10
européenne,72,454,277
violence,72,188,38
compte,72,221,60
nombreux,70,148,31
système,70,212,65
mot,70,161,15
elles,70,116,84
trump,70,130,27
enfants,70,110,121
général,70,207,42
civilisation,70,28,7
trop,70,158,72
lundi,68,169,9
napoléon,68,16,4
heure,68,223,31
chose,68,234,32
nation,68,125,184
nov,68,29,64
sujet,68,167,49
